1,1,1,1,1,1,0.0455
1,1,1,1,1,2,0.0405
1,1,1,1,1,3,0.0383
1,1,1,1,1,4,0.0372
1,1,1,1,1,5,0.0366
1,1,1,1,1,6,0.0360
1,1,1,1,1,7,0.0356
1,1,1,1,1,8,0.0355
1,1,1,1,1,9,0.0354
1,2,1,1,1,1,0.0353
1,2,1,1,1,2,0.0352
1,2,1,1,1,3,0.0351
1,2,1,1,1,4,0.0350
1,2,1,1,1,5,0.0349
1,2,1,1,1,6,0.0348
1,2,1,1,1,7,0.0348
1,2,1,1,1,8,0.0348
1,2,1,1,1,9,0.0349
1,3,1,1,1,1,0.0351
1,3,1,1,1,2,0.0352
1,3,1,1,1,3,0.0355
1,3,1,1,1,4,0.0357
1,3,1,1,1,5,0.0359
1,3,1,1,1,6,0.0359
1,3,1,1,1,7,0.0359
1,3,1,1,1,8,0.0359
1,3,1,1,1,9,0.0359
1,4,1,1,1,1,0.0361
1,4,1,1,1,2,0.0363
1,4,1,1,1,3,0.0364
1,4,1,1,1,4,0.0365
1,4,1,1,1,5,0.0366
1,4,1,1,1,6,0.0366
1,4,1,1,1,7,0.0365
1,4,1,1,1,8,0.0364
1,4,1,1,1,9,0.0364
1,5,1,1,1,1,0.0363
1,5,1,1,1,2,0.0363
1,5,1,1,1,3,0.0363
1,5,1,1,1,4,0.0363
1,5,1,1,1,5,0.0362
1,5,1,1,1,6,0.0361
1,5,1,1,1,7,0.0361
1,5,1,1,1,8,0.0361
1,5,1,1,1,9,0.0360
1,6,1,1,1,1,0.0360
1,6,1,1,1,2,0.0360
1,6,1,1,1,3,0.0360
1,6,1,1,1,4,0.0360
1,6,1,1,1,5,0.0359
1,6,1,1,1,6,0.0359
1,6,1,1,1,7,0.0359
1,6,1,1,1,8,0.0359
1,6,1,1,1,9,0.0359
1,7,1,1,1,1,0.0359
1,7,1,1,1,2,0.0359
1,7,1,1,1,3,0.0359
1,7,1,1,1,4,0.0359
1,7,1,1,1,5,0.0359
1,7,1,1,1,6,0.0359
1,7,1,1,1,7,0.0359
1,7,1,1,1,8,0.0358
1,7,1,1,1,9,0.0358
1,8,1,1,1,1,0.0358
1,8,1,1,1,2,0.0357
1,8,1,1,1,3,0.0357
1,8,1,1,1,4,0.0357
1,8,1,1,1,5,0.0357
1,8,1,1,1,6,0.0356
1,8,1,1,1,7,0.0356
1,8,1,1,1,8,0.0356
1,8,1,1,1,9,0.0356
1,9,1,1,1,1,0.0356
1,9,1,1,1,2,0.0356
1,9,1,1,1,3,0.0356
1,9,1,1,1,4,0.0355
1,9,1,1,1,5,0.0355
1,9,1,1,1,6,0.0355
1,9,1,1,1,7,0.0355
1,9,1,1,1,8,0.0355
1,9,1,1,1,9,0.0355
1,10,1,1,1,1,0.0355
1,10,1,1,1,2,0.0355
1,10,1,1,1,3,0.0355
1,10,1,1,1,4,0.0355
1,10,1,1,1,5,0.0355
1,10,1,1,1,6,0.0355
1,10,1,1,1,7,0.0355
1,10,1,1,1,8,0.0355
1,10,1,1,1,9,0.0355
1,11,1,1,1,1,0.0355
1,11,1,1,1,2,0.0355
1,11,1,1,1,3,0.0354
1,11,1,1,1,4,0.0354
1,11,1,1,1,5,0.0353
1,11,1,1,1,6,0.0353
1,11,1,1,1,7,0.0353
1,11,1,1,1,8,0.0352
